,Host
PP211221,Rattus norvegicus
PQ533463,Ateles chamek
PQ533462,Ateles chamek
PV602113,porcine
PV600843,goose
PV590879,Tufted duck
PV590878,Gadwall
PV590877,Tufted duck
PV590876,Tufted duck
PV568368,Meleagris gallopavo domesticus
PV568367,Meleagris gallopavo domesticus
PV568366,Meleagris gallopavo domesticus
PV568365,Meleagris gallopavo domesticus
PV568364,Meleagris gallopavo domesticus
PV568363,Meleagris gallopavo domesticus
PV568362,Meleagris gallopavo domesticus
PV568361,Meleagris gallopavo domesticus
PV568360,Meleagris gallopavo domesticus
PV568359,Meleagris gallopavo domesticus
PV568358,Meleagris gallopavo domesticus
PV568357,Meleagris gallopavo domesticus
PV568356,Meleagris gallopavo domesticus
PV568355,Meleagris gallopavo domesticus
PV568354,Meleagris gallopavo domesticus
PV568353,Meleagris gallopavo domesticus
PV568352,Meleagris gallopavo domesticus
PV568351,Meleagris gallopavo domesticus
PV568350,Meleagris gallopavo domesticus
PV548864,pig
PV548863,pig
PV544235,Mus musculus
PV351774,Suncus murinus
PV351773,Suncus murinus
PV351772,Suncus murinus
PV351771,Suncus murinus
PV351770,Suncus murinus
PV539770,porcine
PV524668,goose
PV455027,Pig
PV400867,cattle
PV400866,sheep
PV400865,sheep
PV017218,swine
PQ583783,Bos taurus
PQ583782,Bos taurus
FJ890355,Tursiops truncatus (Bottlenose dolphin)
FJ890354,Eumetopias jubatus (Steller sea lion)
FJ890353,Zalophus californianus (California sea lion)
FJ890352,Zalophus californianus (California sea lion)
FJ890351,Zalophus californianus (California sea lion)
FJ973620,Homo sapiens
FJ571074,Hipposideros pomona
FJ571073,Taphozous melanopogon
FJ571072,Taphozous melanopogon
FJ571071,Taphozous melanopogon
FJ571070,Taphozous melanopogon
FJ571069,Taphozous melanopogon
FJ571068,Hipposideros armiger
FJ571067,Taphozous melanopogon
FJ571066,Taphozous melanopogon
FJ571065,Taphozous melanopogon
FJ222451,NA
PG036827,NA
PG036826,NA
PG036825,NA
PG036824,NA
PG036823,NA
PG036822,NA
PG036821,NA
PG036820,NA
PV169360,duck
PQ408913,chicken
PQ408912,chicken
PQ408911,chicken
PQ408910,chicken
PQ408909,chicken
PQ408908,chicken
PQ408907,chicken
PQ408906,chicken
PQ408905,chicken
PQ408904,chicken
OR134528,Muscovy duck
OR134527,Muscovy duck
OR134526,Muscovy duck
OR134525,Muscovy duck
OR134524,Muscovy duck
OR134523,Muscovy duck
OR134522,Muscovy duck
OR134521,Muscovy duck
OR134520,Muscovy duck
OR134519,Muscovy duck
OR134518,Muscovy duck
PV335595,Phocarctos hookeri (New Zealand sea lion)
PV335594,Phocarctos hookeri (New Zealand sea lion)
PV335593,Phocarctos hookeri (New Zealand sea lion)
PV089624,swine
PV089611,swine
PV089610,swine
PV089609,swine
PV089623,swine
PV089622,swine
PV089617,swine
PV089616,swine
PV089615,swine
PV089608,swine
PV089607,swine
PV089606,swine
PV089605,swine
PV089604,swine
PV089603,swine
PV089621,swine
PV089620,swine
PV089619,swine
PV089618,swine
PV089614,swine
PV089613,swine
PV089612,swine
PV089602,swine
PV089601,swine
PV089600,swine
PV089599,swine
PV089598,swine
PV089597,swine
PV189393,Homo sapiens
PV189392,Homo sapiens
PV189391,Homo sapiens
PV189390,Homo sapiens
PV189389,Homo sapiens
PV189388,Homo sapiens
PV189387,Homo sapiens
PV189386,Homo sapiens
PV189385,Homo sapiens
PV189384,Homo sapiens
PV189383,Homo sapiens
PQ789237,rook
PQ789236,rook
PQ789235,Eurasian tree sparrow
PQ789234,hooded crow
PQ789233,hooded crow
PP357251,Scotophilus dinganii; sex: male
PP357250,Miniopterus fraterculus; sex: male
PP357249,Miniopterus fraterculus; sex: male
PV247174,pig
PV247173,pig
PV210984,Rattus norvegicus
PV210983,Rattus norvegicus
PV210982,Rattus norvegicus
PV210981,Rattus norvegicus
PV210980,Rattus norvegicus
PV210979,Rattus norvegicus
PV210978,Rattus norvegicus
PV210977,Rattus tanezumi
PV210976,Rattus norvegicus
PV210975,Rattus tanezumi
PV210974,Rattus norvegicus
PV210973,Rattus norvegicus
PV210972,Rattus tanezumi
PV210971,Rattus norvegicus
PV210970,Rattus norvegicus
PV210969,Rattus tanezumi
PV093029,Neogale vison
PV093028,Neogale vison
PV093027,Neogale vison
PV093026,Neogale vison
PV093025,Neogale vison
PV093024,Neogale vison
PV093023,Neogale vison
PV093022,Neogale vison
PV093021,Neogale vison
PV093020,Neogale vison
PV093019,Neogale vison
PV093018,Neogale vison
PV088328,Homo sapiens
PQ899177,sheep
PQ899176,sheep
PQ899175,sheep
PQ899174,sheep
